Index	Label
0	sir
1	get
2	come
3	like
4	mr
5	gaitonde
6	know
7	i'll
8	fuck
9	i'm
10	want
11	years
12	told
13	yes
14	he's
15	tell
16	one
17	god
18	go
19	back
20	eat
21	motherfucker
22	going
23	father
24	time
25	look
26	give
27	trivedi
28	sartaj
29	that's
30	parulkar
31	would
32	bunty
33	right
34	talk
35	people
36	bhonsle
37	bombay
38	what's
39	days
40	first
41	two
42	killed
43	city
44	ganesh
45	let
46	done
47	could
48	guy
49	everyone
50	ever
51	say
52	anything
53	us
54	country
55	th
56	think
57	listen
58	hindu
59	boss
60	business
61	india
62	call
63	police
64	three
65	made
66	car
67	work
68	singh
69	okay
70	shit
71	man
72	kill
73	number
74	please
75	religion
76	isa
77	they're
78	dad
79	salim
80	lord
81	called
82	got
83	last
84	see
85	away
86	move
87	let's
88	station
89	every
90	need
91	asshole
92	around
93	never
94	we'll
95	there's
96	much
97	came
98	help
99	everything
100	gone
101	said
102	dilbagh
103	kaka
104	food
105	sit
106	else
107	show
108	happen
109	well
110	hey
111	case
112	men
113	muslims
114	we're
115	mumbai
116	water
117	looking
118	old
119	hit
120	story
121	must
122	day
123	change
124	hotel
125	subhadra
126	mom
127	check
128	ma'am
129	happening
130	asked
131	fucking
132	keep
133	found
134	feel
135	good
136	take
137	nothing
138	took
139	many
140	forget
141	whore
142	turn
143	magic
144	temple
145	i've
146	rupees
147	anyone
148	end
149	find
150	leave
151	knew
152	together
153	inside
154	can't
155	left
156	saw
157	save
158	life
159	love
160	since
161	mother
162	try
163	mandrax
164	brave
165	die
166	rama
167	tv
168	watch
169	later
170	money
171	place
172	next
173	set
174	friend
175	person
176	also
177	crazy
178	far
179	coming
180	stop
181	girl
182	put
183	protect
184	send
185	shove
186	ass
187	open
188	hindus
189	wait
190	muslim
191	home
192	gopalmath
193	buy
194	make
195	isa's
196	real
197	new
198	happened
199	something
200	fucked
201	world
202	enough
203	gun
204	majid
205	kid
206	beggar
207	someone
208	wanted
209	feels
210	kailashpada
211	hell
212	garbage
213	mathu
214	second
215	ago
216	mind
217	scared
218	kharvas
219	ducks
220	ifs
221	tankers
222	grow
223	phone
224	nag
225	seen
226	alive
227	really
228	beat
229	women
230	sonu
231	pickpocket
232	she'll
233	stopped
234	follow
235	where's
236	raw
237	dickhead
238	burn
239	thing
240	shah
241	shut
242	lost
243	cunt
244	guys
245	even
246	bitch
247	front
248	hello
249	ask
250	election
251	win
252	hear
253	taught
254	became
255	involved
256	began
257	game
258	long
259	live
260	reason
261	understand
262	use
263	word
264	fucker
265	holy
266	serve
267	demon
268	name
269	blue
270	ten
271	who's
272	part
273	murder
274	junaid
275	shot
276	run
277	fire
278	become
279	surrendering
280	tomorrow
281	decided
282	big
283	gold
284	believe
285	destiny
286	felt
287	known
288	priest
289	rice
290	father's
291	somewhere
292	dark
293	lives
294	son
295	small
296	balls
297	ipc
298	march
299	records
300	smuggling
301	fake
302	support
303	amongst
304	shukla
305	gives
306	red
307	eyes
308	bastard
309	ashwathama
310	dead
311	dump
312	mosque
313	meet
314	safe
315	fear
316	betrayed
317	third
318	malcolm
319	five
320	parulkar's
321	way
322	things
323	guruji
324	thought
325	legs
326	dance
327	hanuman
328	innocent
329	type
330	company
331	ngo
332	head
333	box
334	classes
335	start
336	camera
337	waiting
338	sitting
339	talking
340	luck
341	destroy
342	return
343	it'll
344	straight
345	anjali
346	mathur
347	getting
348	tonight
349	treat
350	target
351	wadala
352	near
353	trucks
354	rest
355	stuff
356	still
357	bunty's
358	deal
359	separately
360	rajiv
361	gandhi
362	bano
363	sunday
364	morning
365	entire
366	minister's
367	destroying
368	mosques
369	whatever
370	sister
371	badriya
372	he'll
373	happy
374	went
375	offerings
376	bipin
377	area
378	slum
379	vote
380	hindumuslim
381	friends
382	gaston
383	pascal
384	cook
385	may
386	faruk
387	chand's
388	hand
389	price
390	lakh
391	says
392	baby
393	drugs
394	smalltime
395	politics
396	using
397	anymore
398	based
399	turned
400	emptying
401	indian
402	maybe
403	nayanika
404	lead
405	throw
406	damage
407	they've
408	arrested
409	waiters
410	shitting
411	point
412	asking
413	goddess
414	shivaji
415	favor
416	sometimes
417	expensive
418	pissed
419	late
420	warned
421	constable
422	raut
423	tried
424	always
425	doctor
426	megha
427	tennis
428	golden
429	amritsar
430	meant
431	lot
432	street
433	running
434	crying
435	speak
436	ahead
437	heard
438	they'll
439	ravi
440	little
441	sleep
442	nobody
443	moment
444	connection
445	whole
446	ganges
447	village
448	godavari
449	everywhere
450	metro
451	beautiful
452	slept
453	awake
454	sleeping
455	school
456	mouth
457	shirt
458	past
459	lifetime
460	free
461	needed
462	chicken
463	close
464	best
465	rcn
466	december
467	isi
468	freedom
469	spoke
470	zone
471	twenty
472	minutes
473	night
474	built
475	empire
476	dumps
477	pure
478	seth
479	meal
480	used
481	dirty
482	clean
483	sell
484	black
485	immortal
486	salary
487	months
488	bone
489	riots
490	learned
491	idea
492	stories
493	mall
494	door
495	gave
496	whose
497	utter
498	hard
499	times
500	means
501	harder
502	introduce
503	yet
504	mourad
505	zoya
506	file
507	jojo
508	inspector
509	movie
510	acting
511	forever
512	strange
513	news
514	year
515	taste
516	battlefield
517	strength
518	sure
519	riddles
520	simple
521	job
522	imagine
523	duck
524	jalebis
525	hail
526	allowed
527	dreams
528	i'd
529	instead
530	avenge
531	weak
532	poor
533	cops
534	ravana
535	sent
536	revenge
537	bastards
538	motherfuckers
539	motto
540	law
541	project
542	czech
543	republic
544	egypt
545	glue
546	cable
547	record
548	apply
549	computer
550	class
551	magitech
552	attending
553	bash
554	trees
555	practice
556	preach
557	switching
558	arrived
559	bungalow
560	nayanika's
561	bring
562	question
563	gossip
564	shitty
565	pockets
566	leaves
567	useful
568	traffic
569	duty
570	manhood
571	shrink
572	superman
573	senior
574	officer
575	delhi
576	marry
577	sucked
578	respectful
579	extremely
580	bhakti
581	park
582	following
583	different
584	informer
585	promised
586	license
587	katekar
588	interpol
589	difficult
590	promise
591	june
592	idiot
593	gain
594	kishore
595	loading
596	umbrella
597	warning
598	cop
599	clothes
600	body
601	dealt
602	bano's
603	husband
604	divorced
605	court
606	former
607	pm
608	pussy
609	overturned
610	court's
611	judgment
612	threw
613	mullahs
614	criticized
615	ramayan
616	aired
617	glued
618	exception
619	understood
620	doors
621	prime
622	trick
623	worked
624	wonders
625	motherland
626	taken
627	pigs
628	cassette
629	breaking
630	listening
631	thinking
632	permission
633	boiling
634	oil
635	erection
636	working
637	sticks
638	deeper
639	swear
640	stupid
641	chotta
642	loves
643	respect
644	already
645	beating
646	goddesses
647	experience
648	terms
649	kiss
650	greet
651	magician
652	reveal
653	secrets
654	brought
655	goddess'
656	advance
657	contesting
658	morwad
659	dominated
660	marathispeaking
661	gujarat
662	marwar
663	lalgarh
664	votes
665	devotee
666	parsi
667	bad
668	helped
669	piece
670	land
671	fought
672	union
673	builder's
674	nose
675	deepak
676	shinde
677	broke
678	steel
679	pipe
680	aides
681	businessman
682	negotiate
683	issues
684	kukoo
685	offer
686	democracy
687	worth
688	kukoo's
689	rollsroyce
690	hated
691	valuable
692	lesson
693	guns
694	estate
695	sway
696	political
697	decisions
698	mafia
699	integral
700	era
701	faith
702	care
703	daily
704	update
705	agencies
706	wife
707	wives
708	tanks
709	filling
710	foreigner
711	markand
712	horse
713	collateral
714	created
715	elaborate
716	theory
717	local
718	cop's
719	aside
720	cripple
721	brother
722	staying
723	presence
724	worried
725	stuck
726	control
727	temper
728	difference
729	gonna
730	tolerate
731	killing
732	gaitonde's
733	deals
734	playing
735	connect
736	today
737	existence
738	gruesome
739	witnesses
740	none
741	hearing
742	wants
743	weapon
744	homemade
745	surrender
746	responded
747	firing
748	fell
749	boy
750	sealed
751	escaped
752	pointed
753	revolver
754	immediately
755	pull
756	trigger
757	fired
758	rounds
759	yearold
760	age
761	limit
762	terrorist
763	filth
764	procedure
765	solved
766	ramakant
767	jadhav
768	google
769	testify
770	tomorrow's
771	report
772	state
773	plays
774	played
775	ms
776	shall
777	neither
778	visiting
779	summoned
780	accident
781	hospital
782	canceled
783	trip
784	cried
785	stole
786	rupee
787	bill
788	dad's
789	wallet
790	burned
791	slapped
792	policeman
793	worry
794	inquiry
795	commission
796	pocket
797	matter
798	blocking
799	exit
800	towards
801	unarmed
802	teens
803	started
804	side
805	yelled
806	fine
807	solve
808	managed
809	catch
810	trace
811	magical
812	force
813	gavaskar
814	handling
815	tendulkar's
816	security
817	other's
818	pandit's
819	pandit
820	bullshitting
821	trust
822	remembered
823	easy
824	explain
825	scriptures
826	including
827	drought
828	lasted
829	thousand
830	sage
831	gautama
832	meditated
833	manifested
834	river
835	course
836	grain
837	bag
838	beg
839	weakness
840	disgusted
841	master
842	fate
843	dot
844	tracing
845	theater
846	affectionate
847	light
848	dream
849	stayed
850	truly
851	wakes
852	wake
853	courage
854	childhood
855	memories
856	fresh
857	tore
858	yesterday
859	madly
860	fields
861	chanting
862	trying
863	hungry
864	eggs
865	circle
866	building
867	anda
868	pav
869	opposite
870	kyani
871	sunil
872	hi
873	chops
874	onions
875	fast
876	signal
877	scrambler
878	ride
879	thug
880	dick
881	screwed
882	greetings
883	speaking
884	balochistan
885	faction
886	rogue
887	currency
888	planning
889	disastrous
890	hizbuddin's
891	names
892	closed
893	enter
894	register
895	unusual
896	situation
897	letter
898	dcp's
899	office
900	mentioned
901	missing
902	cases
903	disappearing
904	classified
905	files
906	corner
907	row
908	eknath
909	frightened
910	singapore
911	malaysia
912	trap
913	backup
914	speed
915	cockroaches
916	beauty
917	possible
918	indira
919	gandhi's
920	emergency
921	reigned
922	government
923	sterilizing
924	slow
925	everybody
926	benefited
927	brahmin's
928	satyanarayan
929	uppercaste
930	vegetarian
931	regular
932	deluxe
933	hurry
934	baking
935	soda
936	ghee
937	dal
938	touching
939	hands
940	waiter
941	belongs
942	upper
943	caste
944	purity
945	sin
946	booming
947	market
948	dig
949	pill
950	costs
951	eight
952	lick
953	swallow
954	ultimate
955	kick
956	craving
957	passing
958	circles
959	definitely
960	high
961	spell
962	pain
963	bullshit
964	given
965	gotten
966	owned
967	scooter
968	drove
969	fantasized
970	becoming
971	sinner
972	vegetable
973	bird
974	rip
975	jackfruit
976	cause
977	gangster
978	preindependence
979	create
980	rift
981	pork
982	incite
983	beef
984	devout
985	learn
986	mathu's
987	afghan
988	bull
989	king
990	tip
991	chant
992	brahma
993	alpha
994	omega
995	clear
996	thoughts
997	reality
998	conceived
999	talks
1000	monitoring
1001	twentyfive
1002	almost
1003	sorry
1004	hang
1005	autoerasing
1006	remote
1007	server
1008	dmd
1009	dynamite
1010	chair
1011	eager
1012	nab
1013	fathers
1014	instilled
1015	guts
1016	loved
1017	hop
1018	ballbreaker
1019	he'd
1020	squeeze
1021	brain
1022	burst
1023	petrified
1024	six
1025	assholes
1026	empty
1027	smuggler
1028	actually
1029	conscience
1030	fucker's
1031	soul
1032	tricks
1033	looked
1034	kaka's
1035	corpse
1036	disbelief
1037	praised
1038	visualize
1039	soon
1040	jail
1041	raise
1042	shovel
1043	introduced
1044	peacefully
1045	anywhere
1046	till
1047	destroys
1048	ahold
1049	arms
1050	unit
1051	revolvers
1052	month
1053	gia
1054	algeria
1055	disappeared
1056	peshawar
1057	germany
1058	detained
1059	making
1060	bombs
1061	mirza's
1062	calls
1063	afternoon
1064	:
1065	p
1066	contains
1067	pakistan
1068	produced
1069	pay
1070	surgery
1071	fees
1072	copies
1073	blackmail
1074	blackmailers
1075	facetoface
1076	week
1077	died
1078	seemed
1079	depressed
1080	attack
1081	consignment
1082	saying
1083	weird
1084	except
1085	celibate
1086	birth
1087	bureaucrat
1088	drank
1089	glasses
1090	milk
1091	dreamed
1092	changing
1093	country's
1094	future
1095	follower
1096	touch
1097	feet
1098	seek
1099	blessings
1100	bless
1101	deference
1102	habits
1103	monsoon
1104	season
1105	date
1106	august
1107	wheel
1108	turning
1109	universe
1110	blink
1111	eye
1112	revolution
1113	foreign
1114	lands
1115	staff
1116	we've
1117	reserved
1118	fasting
1119	picking
1120	cow's
1121	colostrum
1122	sacrifice
1123	either
1124	bow
1125	arrow
1126	welcome
1127	seat
1128	chairs
1129	radiate
1130	power
1131	shiva
1132	reborn
1133	manifest
1134	headsup
1135	strong
1136	famed
1137	scholar
1138	extraordinary
1139	devotion
1140	performs
1141	rituals
1142	impressive
1143	skip
1144	predestined
1145	spread
1146	wings
1147	community
1148	servants
1149	prefer
1150	huge
1151	responsibility
1152	overseas
1153	general
1154	behind
1155	total
1156	eating
1157	hole
1158	waste
1159	important
1160	pack
1161	ate
1162	twelve
1163	gopalmath's
1164	mosquitoes
1165	diabetes
1166	fond
1167	sweets
1168	young
1169	ganesha
1170	festival
1171	smell
1172	entered
1173	house
1174	devour
1175	heavenly
1176	perfect
1177	heart
1178	fall
1179	babri
1180	yearcycle
1181	born
1182	priests
1183	babur
1184	plan
1185	demolish
1186	build
1187	demolition
1188	bombed
1189	graveyard
1190	son's
1191	broken
1192	bomb
1193	blast
1194	limbs
1195	shitscared
1196	cowards
1197	crime
1198	biggest
1199	rule
1200	rich
1201	powerful
1202	struggle
1203	wash
1204	people's
1205	cars
1206	houses
1207	toilets
1208	welcomed
1209	temples
1210	play
1211	loud
1212	music
1213	festivals
1214	enjoy
1215	clubs
1216	floor
1217	belong
1218	equals
1219	fuckwits
1220	humans
1221	cover
1222	abducted
1223	sita
1224	lanka
1225	awoke
1226	dubai
1227	bombings
1228	chose
1229	anyway
1230	demanding
1231	vengeance
1232	abdul
1233	langur
1234	ghaslet's
1235	brothers
1236	moinuddin
1237	bajil
1238	zia
1239	able
1240	escape
1241	avenged
1242	taking
1243	flowers
1244	complete
1245	ritual
1246	mess
1247	face
1248	dog
1249	goes
1250	wrong
1251	tea
1252	sadrakshanay
1253	khalnigranay
1254	evil
1255	justice
1256	fault
1257	stupidity
1258	mottos
1259	similar
1260	latest
1261	intel
1262	mascarenhas
1263	mirza
1264	star
1265	meeting
1266	frequently
1267	safari
1268	suit
1269	bureaucratic
1270	zoya's
1271	passport
1272	embassy
1273	specifically
1274	ran
1275	global
1276	shell
1277	lately
1278	sends
1279	droughthit
1280	areas
1281	warehouse
1282	filled
1283	trash
1284	basis
1285	balance
1286	sheets
1287	droughtrelief
1288	program
1289	official
1290	carry
1291	watermelon
1292	juice
1293	obviously
1294	hitting
1295	something's
1296	fishy
1297	pretty
1298	funding
1299	funds
1300	uganda
1301	sandeep
1302	list
1303	postings
1304	manager
1305	parade
1306	naked
1307	suggest
1308	earn
1309	karma
1310	headed
1311	heaven
1312	often
1313	tag
1314	dwivedi
1315	oh
1316	finally
1317	jerking
1318	tie
1319	bathe
1320	spray
1321	perfume
1322	lonely
1323	fates
1324	bound
1325	iron
1326	magnet
1327	tortured
1328	kind
1329	offered
1330	messenger
1331	kingdom
1332	satan
1333	shoot
